Species,Country,Speciality,Source,Year,Antifungal
Aspergillus fumigatus,Argentina,Ambulatory/Outpatient,Abscess (pus),2010,Anidulafungin
Aspergillus hortai,Australia,Burn,Ascitic fluid,2012,Caspofungin
Candida albicans,Belgium,Cardiothoracic/Pulmonary,Aspirate,2011,Fluconazole
Candida auris,Brazil,Critical Care Unit,Bile,2013,Micafungin
Candida glabrata,Canada,Dermatology,Blood culture,2014,Voriconazole
Candida guilliermondii,Chile,Dialysis,Bone/Joint culture,2015,
Candida krusei,China,"Ear, Nose, Throat",Bronchoalveolar lavage/wash,2016,
Candida parapsilosis,Colombia,"Ear, Nose, Throat (Otolarynology)",Catheter,2017,
Candida pararugosa,Costa Rica,Emergency,Catheter tip,2018,
Candida sojae,Croatia,Family Practice,Cerebrospinal fluid,2019,
Candida tropicalis,Czech Republic,Gastroenterology/GI,"Ears,nose,throat",2020,
Candida utilis,Ecuador,General/GI,Endotracheal tube,,
Coprinellus radians,France,Geriatics,Eye/conjunctiva,,
Cryptococcus gattii species complex,Germany,Hematology/Oncology,Genital tract,,
Mucor indicus,Greece,Infectious Disease,GI tract/bowel,,
Penicillium citrinum,Hong Kong,Intensive Care Unit,Intravenous/IV Line,,
Unspeciated Corpinellus,Hungary,Intermediate Care,Invasive pulmonary,,
Unspeciated Cunninghamella,India,Internal Medicine,Lower Respiratory Tract,,
Unspeciated Scopulariopsis,Ireland,Long Term Care,Other,,
,Israel,Long-Term Care,Peritoneal fluid,,
,Italy,Neurology,Plueral fluid,,
,Korea,Neurosurgery,Sinus,,
,Mexico,Obstetrics/Gynecology,Skin/Soft Tissue,,
,New Zealand,Ophthalmology,Sputum,,
,Philippines,Orthopedics,Stool,,
,Portugal,Pediatrics/Neonate,Tissue,,
,Romania,Psychiatry,Tracheal aspirate,,
,Russia,Rehabilitation,Unknown,,
,Scotland,Renal,Upper Respiratory Tract,,
,Singapore,Surgery,Ureteral catheter,,
,Slovakia,Transplant,Urethral catheter (Foley),,
,Slovenia,Trauma,Urine/Urinary tract,,
,South Africa,Unknown,Wound/Drainage/Ulcer,,
,Spain,Urology,,,
,Sweden,Urology/Prostate,,,
,Switzerland,,,,
,Taiwan,,,,
,Thailand,,,,
,Turkey,,,,
,UK,,,,
,Ukraine,,,,
,USA,,,,
